Predictions
01
orgName, playerFname, playerLname, predictedrank, position, team, analystFname, analystLname
ESPN Tom Brady 1 QB NE none none
ESPN Kyler Murray 2 QB ARI none none
ESPN Matt Ryan 4 QB ATL none none
ESPN Josh Allen 6 QB BUF none none
ESPN P.J Walker 5 QB CAR none none
DraftKings Tom Brady 3 QB NE none none
DraftKings Kyler Murray 1 QB ARI none none
DraftKings Matt Ryan 2 QB ATL none none
DraftKings Josh Allen 4 QB BUF none none
DraftKings P.J Walker 9 QB CAR none none
CBS Tom Brady 3 QB NE none none
CBS Kyler Murray 6 QB ARI none none
CBS Matt Ryan 9 QB ATL none none
CBS Josh Allen 12 QB BUF none none
CBS P.J Walker 15 QB CAR none none
Y! Tom Brady 5 QB NE none none
Y! Kyler Murray 4 QB ARI none none
Y! Matt Ryan 3 QB ATL none none
Y! Josh Allen 2 QB BUF none none
Y! P.J Walker 1 QB CAR none none
